Row,SST,OHC,ACE,ΔP,DR,ΔE,THFX,θ_e,10m_MWS,MWS,PR
-3°C,-10.1379062146197,-79.1700261824136,-41.2708024164567,-62.6865671641791,-71.9101123595506,-67.7807094693638,-58.1881533101045,-4.786267075261,-21.6911764705882,-19.0588235294118,0
-2°C,-6.78426132494215,-52.9803822755286,-24.8570429115134,-41.7910447761194,-14.6067415730337,-53.0929346232776,-33.1010452961672,-2.95278657871501,-11.7647058823529,-10.4705882352941,-16.8141592920354
-1°C,-3.36086305938004,-26.2460128130715,-18.3682827514347,-25.3731343283582,-31.4606741573034,-28.9064790384052,-27.5261324041812,-1.43354282449488,-6.61764705882353,-4.8235294117647,-15.0442477876106
OML17,0.176798061240783,-50.7579600862096,-14.5087934101858,-17.910447761194,-14.6067415730337,-23.248314277338,-27.5261324041812,-1.43873682023581,-7.53676470588236,-4.11764705882353,8.84955752212389
No Anom.,-2.62253595022631,-20.4801894442784,-15.2999639185886,-26.865671641791,-12.3595505617978,-58.4872471416007,-35.191637630662,-1.96592738793954,-3.12499999999999,-7.76470588235293,-15.0442477876106
Control,0,0,0,0,0,0,0,0,0,0,0
OML70,-0.00721816970255157,99.8872621876268,9.44529096548131,13.4328358208955,14.6067415730337,14.9809440046907,24.390243902439,1.52443774996105,4.77941176470588,1.76470588235294,50.4424778761062
+1°C,4.43689848035061,34.6491042057098,19.3297511800133,20.8955223880597,44.9438202247191,31.2225153913808,45.993031358885,2.22562717498571,7.90441176470589,13.7647058823529,6.19469026548673
+2°C,6.76796294589546,52.8531032231739,42.4454113611962,56.7164179104478,73.0337078651685,87.1298739372618,80.1393728222996,4.12922661403417,13.6029411764706,22.7058823529412,39.8230088495575
+3°C,10.3066569475617,80.4878525325981,63.3383857256752,86.5671641791045,111.23595505618,118.440340076224,139.372822299652,6.71843349088454,25,37.2941176470588,61.0619469026549
