Row,SST,OHC,ACE,ΔP,DR,ΔE,THFX,θ_e,10m_MWS,MWS,PR
-3°C,-10.2840266097553,-82.6033672745294,-55.9567183541019,-77.0114942528736,-78.75,-73.9902506963788,-71.4601769911504,-6.92557627855809,-31.2913907284768,-37.8073770491803,-15.6028368794326
-2°C,-6.85774819173421,-55.0828108535536,-33.6726349173235,-47.1264367816092,-51.875,-55.2228412256267,-53.0973451327434,-4.73558983805357,-19.5364238410596,-23.2581967213115,-5.67375886524823
-1°C,-3.28330219532864,-26.3721426835606,-15.5322486153088,-24.1379310344828,-33.125,-30.2576601671309,-30.7522123893805,-2.27697188323483,-8.11258278145695,-10.5532786885246,-0.354609929078014
OML35,-0.0715776199348528,-53.601632049179,-5.81205339490744,-11.4942528735632,-13.75,-12.7089136490251,-22.3451327433628,-1.74482564535523,-5.96026490066225,-5.94262295081967,-12.7659574468085
No Anom.,-1.84039628058057,-14.7824325688994,-10.8326796715482,-22.9885057471264,-31.875,-17.7924791086351,-18.3628318584071,-2.02113234579271,-3.14569536423841,-9.32377049180327,-4.25531914893617
Control,0,0,0,0,0,0,0,0,0,0,0
OML100,-0.0301262702281054,33.0106929955622,4.22325273760073,-1.14942528735632,-6.87500000000001,10.0974930362117,6.85840707964603,0.196996443830425,-0.993377483443711,1.53688524590164,4.25531914893617
+1°C,3.23408787480009,25.9768433763875,11.0913786085118,26.4367816091954,23.125,40.8077994428969,13.9380530973452,2.27697188323483,5.4635761589404,4.30327868852459,7.09219858156028
+2°C,6.49076310602426,52.1351129362399,10.5978355621052,24.1379310344828,11.875,89.7632311977716,56.4159292035398,3.78386675876891,9.10596026490067,13.6270491803279,18.0851063829787
+3°C,9.95063232066933,79.9254773824055,39.4270811262679,67.816091954023,69.375,122.876044568245,133.407079646018,7.33236114309105,23.5099337748344,30.6352459016394,70.2127659574468
